code,url,product_name,brands_tags,stores,owner,labels_tags,nutriscore_score,nutriscore_grade,quantity,fat_100g,saturated_fat_100g,sugars_100g,proteins_100g,carbohydrates_100g,energy_100g,salt_100g,sodium_100g,computed_energy_100g,organic,level_salt,level_saturated_fat,level_sugars,level_fat,vegan,vegetarian,palm_oil
11225547799,http://world-en.openfoodfacts.org/product/0011225547799/tuscan-style-wood-fired-flatbread-pizza-with-kale-black-olives-and-cherry-tomatoes,"Tuscan style wood-fired flatbread pizza with kale, black olives and cherry tomatoes",,,,,2,b,,5.71,2.04,2.86,8.57,29.39,870,1.4275,0.571,856.59,,m,m,l,m,f,,f
39131169782,http://world-en.openfoodfacts.org/product/0039131169782/twisted-hawaiian-fresh-rising-crust-pizza-topped-with-rich-italian-style-sauce-mozzarella-pineapple-canadian-style-bacon-jalapenos-asiago-parmesan-cheese-a-blend-of-spices-minced-garlic,"Twisted hawaiian fresh rising crust pizza topped with rich italian-style sauce, mozzarella, pineapple, canadian-style bacon, jalapenos, asiago & parmesan cheese, a blend of spices & minced garlic",,,,,2,b,,5.0,2.14,2.14,8.57,28.57,808,1.0175,0.407,816.38,,m,m,l,m,f,f,
36800285231,http://world-en.openfoodfacts.org/product/0036800285231/ultra-thin-crust-white-spinach-pizza-white-spinach,"Ultra thin crust white spinach pizza, white spinach",,,,,2,b,,8.26,3.72,1.65,8.26,23.97,828,0.785,0.314,853.53,,m,m,l,m,f,,
859724002254,http://world-en.openfoodfacts.org/product/0859724002254/ultra-thin-sprouted-grain-crust-old-world-veggie-pizza,Ultra thin sprouted grain crust old world veggie pizza,,,,,-1,a,,4.62,2.31,2.31,9.23,20.0,678,0.6925,0.277,667.85,,m,m,l,m,f,,
817350010173,http://world-en.openfoodfacts.org/product/0817350010173/uncured-mild-pepperoni-whole-grain-thin-crust-pizza-three-bakers,Uncured mild pepperoni whole grain thin crust pizza,three-bakers,,,,1,b,,8.53,3.88,0.78,10.08,29.46,941,1.26,0.504,987.79,,m,m,l,m,f,f,f
37363987174,http://world-en.openfoodfacts.org/product/0037363987174/uncured-pepperoni-calzones-pepperoni,"Uncured pepperoni calzones, pepperoni",,,,,2,b,,5.1,1.96,1.57,6.67,15.69,573,1.0,0.4,568.82,,m,m,l,m,f,f,
810882010673,http://world-en.openfoodfacts.org/product/0810882010673/uncured-pepperoni-n-cheese,Uncured pepperoni'n cheese,,,,,1,b,,8.99,2.81,2.25,10.11,33.71,1033,0.815,0.326,1077.57,,m,m,l,m,f,f,
859724002056,http://world-en.openfoodfacts.org/product/0859724002056/uncured-pepperoni-pizza,Uncured pepperoni pizza,,,,,0,b,,7.87,2.76,3.15,13.39,22.05,891,0.905,0.362,893.67,,m,m,l,m,f,f,
853407003019,http://world-en.openfoodfacts.org/product/0853407003019/vegan-cheese-pizza-bold-organics,Vegan Cheese Pizza,bold-organics,,,"en:vegetarian,en:vegan",2,b,,8.04,0.89,0.89,2.68,25.89,787,0.8475,0.339,783.17,f,m,l,l,m,t,t,f
73866200914,http://world-en.openfoodfacts.org/product/0073866200914/vegetable-napoli-pizza,Vegetable napoli pizza,,,,,1,b,,4.08,1.36,2.04,6.8,31.97,770,0.7475,0.299,810.05,,m,l,l,m,f,,
