code	url	product_name	brands_tags	stores	owner	labels_tags	nutriscore_score	nutriscore_grade	quantity	fat_100g	saturated_fat_100g	sugars_100g	proteins_100g	carbohydrates_100g	energy_100g	salt_100g	sodium_100g	computed_energy_100g	organic	level_salt	level_saturated_fat	level_sugars	level_fat	vegan	vegetarian	palm_oil
0075706148004	http://world-en.openfoodfacts.org/product/0075706148004/palermo-s-pizzeria-medium-crust-hand-tossed-style-pizza-cheese	Palermo's, pizzeria, medium crust hand tossed style pizza, cheese	palermo-s,palermo-villa-inc	NA	NA	NA	11	d	NA	9.03	4.17	4.17	10.42	27.08	958	1.5275	0.611	971.61	NA	h	m	l	m	f		
0075706148073	http://world-en.openfoodfacts.org/product/0075706148073/palermo-s-pizzeria-medium-crust-meat-lovers-pizza	Palermo's, pizzeria medium crust meat lovers pizza	palermo-s,palermo-villa-inc	NA	NA	NA	11	d	NA	10.56	4.23	3.52	8.45	26.06	1000	1.55	0.62	977.39	NA	h	m	l	m	f	f	
0075706148035	http://world-en.openfoodfacts.org/product/0075706148035/palermo-s-pizzeria-medium-crust-pepperoni-pizza	Palermo's, pizzeria, medium crust pepperoni pizza	palermo-s,palermo-villa-inc	NA	NA	NA	14	d	NA	11.41	5.37	4.03	9.4	25.5	1038	1.7125	0.685	1015.47	NA	h	h	l	m	f	f	
0075706148080	http://world-en.openfoodfacts.org/product/0075706148080/palermo-s-pizzeria-medium-crust-roasted-vegetable-pizza	Palermo's, pizzeria, medium crust roasted vegetable pizza	palermo-s,palermo-villa-inc	NA	NA	NA	4	c	NA	7.19	3.27	3.92	8.5	26.14	849	1.2575	0.503	854.91	NA	m	m	l	m	f		
0075706148042	http://world-en.openfoodfacts.org/product/0075706148042/palermo-s-pizzeria-medium-crust-supreme-pizza	Palermo's, pizzeria medium crust supreme pizza	palermo-s,palermo-villa-inc	NA	NA	NA	11	d	NA	11.28	4.51	3.01	8.27	23.31	975	1.39	0.556	954.22	NA	m	m	l	m	f	f	
0075706165179	http://world-en.openfoodfacts.org/product/0075706165179/palermo-s-primo-thin-ultra-thin-crust-garden-pizza	Palermo's, primo thin, ultra thin crust garden pizza	palermo-s,palermo-villa-inc	NA	NA	NA	3	c	NA	6.33	3.16	3.8	7.59	18.35	661	1.1075	0.443	675.19	NA	m	m	l	m	f		f
0075706165117	http://world-en.openfoodfacts.org/product/0075706165117/palermo-s-primo-thin-ultra-thin-crust-hawaiian-style-pizza	Palermo's, primo thin, ultra thin crust hawaiian style pizza	palermo-s,palermo-villa-inc	NA	NA	NA	11	d	NA	6.35	3.17	4.76	8.73	19.05	699	1.35	0.54	707.21	NA	m	m	l	m	f	f	f
0075706165049	http://world-en.openfoodfacts.org/product/0075706165049/palermo-s-primo-thin-ultra-thin-crust-margherita-pizza	Palermo's, primo thin, ultra thin crust margherita pizza	palermo-s,palermo-villa-inc	NA	NA	NA	9	c	NA	9.52	4.08	3.4	8.16	18.37	795	1.19	0.476	803.25	NA	m	m	l	m	f		f
0075706165193	http://world-en.openfoodfacts.org/product/0075706165193/palermo-s-primo-thin-uncured-bacon-spinach-feta-pizza	Palermo's, primo thin, uncured bacon spinach & feta pizza	palermo-s,palermo-villa-inc	NA	NA	NA	11	d	NA	8.96	4.48	2.24	8.96	19.4	812	1.1375	0.455	813.64	NA	m	m	l	m	f	f	f
0075706133109	http://world-en.openfoodfacts.org/product/0075706133109/palermo-s-rising-crust-cheese-pizza	Palermo's, rising crust cheese pizza	palermo-s,palermo-villa-inc	NA	NA	NA	3	c	NA	7.3	2.92	2.92	8.76	30.66	946	1.15	0.46	940.24	NA	m	m	l	m	f		
0075706133130	http://world-en.openfoodfacts.org/product/0075706133130/palermo-s-rising-crust-pizza-pepperoni-sausage-beef-pepperoni-sausage-beef	Palermo's, rising crust pizza, pepperoni, sausage & beef, pepperoni, sausage & beef	palermo-s,palermo-villa-inc	NA	NA	NA	10	c	NA	9.52	3.4	2.72	8.84	28.57	996	1.3775	0.551	988.21	NA	m	m	l	m	f	f	
0075706133123	http://world-en.openfoodfacts.org/product/0075706133123/palermo-s-rising-crust-sausage-pizza-pork-chicken-pork-chicken	Palermo's, rising crust sausage pizza, pork & chicken, pork & chicken	palermo-s	NA	NA	NA	4	c	NA	8.39	3.15	2.8	9.09	29.37	967	1.275	0.51	964.25	NA	m	m	l	m	f	f	
0075706133116	http://world-en.openfoodfacts.org/product/0075706133116/palermo-s-thick-rising-crust-pizza-pepperoni-pepperoni	Palermo's, thick rising crust pizza, pepperoni, pepperoni	palermo-s,palermo-villa-inc	NA	NA	NA	4	c	NA	9.09	3.5	2.8	9.09	29.37	996	1.3275	0.531	990.15	NA	m	m	l	m	f	f	
